serie,arquitectura,ventana,unidades_1,unidades_2,dropout,learning_rate,batch_size,epocas_utilizadas,val_loss
Aérea,LSTM apilada,12,32,32.0,0.0,0.0005,8,17,0.0988403856754303
Aérea,LSTM apilada,18,64,32.0,0.0,0.0005,8,16,0.09891396760940552
Aérea,LSTM apilada,18,64,16.0,0.2,0.0005,8,16,0.09922885149717331
Aérea,LSTM apilada,12,32,16.0,0.0,0.001,8,16,0.09939359873533249
Aérea,LSTM apilada,18,32,32.0,0.2,0.0005,16,18,0.09968733042478561
Aérea,LSTM apilada,18,32,32.0,0.2,0.001,8,17,0.1003563404083252
Aérea,LSTM simple,12,64,,0.2,0.0005,8,19,0.10066509246826172
Aérea,LSTM apilada,18,32,32.0,0.0,0.0005,16,18,0.10187660902738571
Aérea,LSTM apilada,18,32,32.0,0.0,0.0005,8,16,0.10205528885126114
Aérea,LSTM apilada,12,64,32.0,0.0,0.0005,16,21,0.1029006838798523
Aérea,LSTM simple,12,16,,0.0,0.001,8,18,0.10317148268222809
Aérea,LSTM apilada,18,64,16.0,0.0,0.001,8,17,0.1032814309000969
Aérea,LSTM apilada,18,64,16.0,0.0,0.001,16,16,0.10334175825119019
Aérea,LSTM apilada,18,64,32.0,0.2,0.0005,8,18,0.10363089293241501
Aérea,LSTM apilada,12,32,16.0,0.2,0.0005,8,21,0.10368498414754868
Aérea,LSTM simple,18,32,,0.0,0.0005,8,18,0.10400551557540894
Aérea,LSTM apilada,18,64,16.0,0.2,0.0005,16,18,0.10479440540075302
Aérea,LSTM apilada,18,64,32.0,0.0,0.001,16,18,0.10486776381731033
Aérea,LSTM apilada,18,32,16.0,0.0,0.001,16,17,0.10554450750350952
Aérea,LSTM apilada,18,64,32.0,0.0,0.0005,16,20,0.10630260407924652
Aérea,LSTM apilada,12,64,16.0,0.2,0.0005,16,22,0.10681799799203873
Aérea,LSTM apilada,18,32,16.0,0.2,0.0005,8,17,0.1077020913362503
Aérea,LSTM apilada,18,64,16.0,0.2,0.001,8,17,0.10797678679227829
Aérea,LSTM apilada,18,32,32.0,0.2,0.0005,8,19,0.1081453263759613
Aérea,LSTM apilada,18,32,32.0,0.0,0.001,16,20,0.10817388445138931
Aérea,LSTM apilada,18,32,32.0,0.0,0.001,8,17,0.10845320671796799
Aérea,LSTM apilada,18,64,16.0,0.0,0.0005,8,16,0.108547143638134
Aérea,LSTM apilada,18,64,16.0,0.0,0.0005,16,17,0.10902206599712372
Aérea,LSTM apilada,18,64,16.0,0.2,0.001,16,16,0.1098814383149147
Aérea,LSTM apilada,18,64,32.0,0.2,0.001,8,32,0.11226025223731995
Aérea,LSTM simple,18,32,,0.0,0.001,16,18,0.11645592749118805
Aérea,LSTM apilada,18,64,32.0,0.2,0.0005,16,21,0.1182992160320282
Aérea,LSTM simple,18,64,,0.0,0.0005,8,19,0.11945053189992905
Aérea,LSTM apilada,18,64,32.0,0.0,0.001,8,18,0.12010636180639267
Aérea,LSTM apilada,18,32,16.0,0.0,0.001,8,18,0.12146223336458206
Aérea,LSTM apilada,18,32,16.0,0.0,0.0005,8,16,0.12505553662776947
Aérea,LSTM simple,18,16,,0.2,0.0005,16,26,0.12804731726646423
Aérea,LSTM simple,18,16,,0.0,0.001,16,23,0.138166606426239
